359.0,486.0
364.0,521.0
375.0,552.0
380.0,582.0
390.0,622.0
410.0,652.0
430.0,677.0
450.0,692.0
495.0,707.0
530.0,697.0
555.0,677.0
571.0,657.0
586.0,622.0
596.0,587.0
601.0,552.0
611.0,521.0
616.0,481.0
375.0,456.0
395.0,456.0
415.0,451.0
435.0,451.0
450.0,461.0
525.0,461.0
545.0,456.0
566.0,451.0
591.0,451.0
606.0,456.0
490.0,496.0
485.0,526.0
485.0,557.0
485.0,577.0
465.0,582.0
475.0,587.0
485.0,592.0
500.0,587.0
510.0,582.0
405.0,486.0
420.0,481.0
435.0,481.0
450.0,486.0
435.0,491.0
420.0,491.0
525.0,491.0
545.0,486.0
560.0,486.0
576.0,491.0
560.0,496.0
540.0,496.0
440.0,627.0
455.0,622.0
475.0,617.0
490.0,622.0
500.0,622.0
520.0,622.0
535.0,627.0
520.0,637.0
505.0,642.0
490.0,642.0
470.0,642.0
460.0,637.0
445.0,627.0
475.0,627.0
490.0,627.0
500.0,627.0
530.0,627.0
500.0,627.0
485.0,622.0
475.0,622.0
